===================================================================================================
VERIFICATION REPORT
Generated by verify_numbers.py
===================================================================================================

Statistic                                          Expected           Computed           Match?    
EC/EO N valid                                      212                212                OK        
EC/EO t-statistic (recomputed)                     -6.14871           -6.14871           OK        
EC/EO p one-sided (recomputed)                     1.92766e-09        1.92766e-09        OK        
EC/EO Cohen's d_z (paired)                         N/A                -0.422295          INFO      
EC/EO Cohen's d_av (pooled SD)                     N/A                -0.563392          INFO      
EXPECTED EC/EO Cohen's d                           -0.56              -0.563392          OK        
EXPECTED EC/EO p one-sided                         1.9e-09            1.92766e-09        OK        
EC/EO summary d vs recomputed d_av                 -0.564725          -0.563392          OK        
Demographics N rows                                N/A                228                INFO      
---------------------------------------------------------------------------------------------------
TOTALS: 14 OK, 0 MISMATCH, 100 INFO (computed only), 0 SKIP
